area_name,lat,lng,zone_type,avg_rate_per_m2,min_rate,max_rate,tier,listing_count
Cunningham Road,12.98,77.595,commercial,209675,205596,229336,premium,9
2nd Stage Nagarbhavi,12.96,77.507,residential,201825,165048,215280,premium,16
8th block Koramangala,12.9352,77.6245,residential,152490,128999,175518,premium,5
Rajaji Nagar,12.99,77.553,residential,150302,121182,172029,premium,75
Malleshwaram,13.0035,77.568,residential,134550,107640,150657,premium,40
4th Block Koramangala,12.9352,77.6245,residential,131804,112424,151224,premium,5
Jayanagar,12.9308,77.5838,residential,130420,110752,132230,premium,5
1st Block Jayanagar,12.9308,77.5838,residential,128553,109376,160268,premium,10
5th Block Hbr Layout,13.03,77.645,residential,123601,57697,183885,premium,8
Banashankari Stage II,12.9255,77.5468,residential,123273,94926,139932,premium,10
Chamrajpet,12.963,77.565,residential,116548,76344,165253,premium,10
Richmond Town,12.9632,77.6051,commercial,109449,106515,124503,premium,5
Frazer Town,12.99,77.62,commercial,106857,96335,115805,premium,23
1st Block Koramangala,12.9352,77.6245,residential,101914,83678,179400,premium,6
Koramangala,12.9352,77.6245,residential,98801,84217,130519,premium,50
Hebbal Kempapura,13.035,77.597,residential,98751,85683,111047,premium,24
Judicial Layout,12.92,77.575,residential,98142,71526,146510,premium,9
Sector 1 HSR Layout,12.9116,77.6389,residential,97999,89501,215280,premium,6
4th T block Jayanagar,12.9308,77.5838,residential,91908,83262,133269,premium,5
Sector 7 HSR Layout,12.9116,77.6389,residential,91499,90369,98181,premium,9
1st Phase JP Nagar,12.9102,77.5857,residential,91037,80730,103690,premium,16
Kammanahalli,13.01,77.66,residential,90725,72657,119600,premium,11
Domlur,12.9609,77.6391,residential,88419,83519,99852,premium,14
Konanakunte,12.9,77.565,residential,86004,68093,109503,premium,9
HBR Layout,13.03,77.645,residential,85447,59352,107640,premium,14
Hennur Gardens,13.0481,77.6388,residential,83078,73051,84823,premium,5
Nagarbhavi,12.96,77.507,residential,82011,53753,162536,premium,43
2nd Phase JP Nagar,12.9102,77.5857,residential,80730,73349,152091,premium,5
Nagavarapalya,13.05,77.62,residential,80157,70321,87028,premium,9
Old Airport Road,12.96,77.66,commercial,79630,76428,80603,premium,23
Hebbal,13.035,77.597,residential,76559,66625,84488,premium,123
Shivaji Nagar,12.986,77.605,commercial,75792,61340,100672,premium,9
6th Phase JP Nagar,12.9,77.585,residential,74002,64622,97839,mid,15
Vijayanagar,12.9718,77.5272,residential,71920,66091,83800,mid,28
7th Phase JP Nagar,12.89,77.58,residential,71760,51280,76886,mid,107
Harlur,12.905,77.67,residential,71041,65705,75649,mid,55
Bannerghatta,12.89,77.597,residential,69406,64799,88356,mid,12
Lakshminarayana Pura,12.97,77.653,residential,69178,68127,74630,mid,26
Jakkur Plantation,13.07,77.6,residential,68880,68707,79866,mid,5
Tumkur Road,13.05,77.52,industrial,68172,58813,70913,mid,23
Panathur,12.935,77.71,residential,67757,58327,71573,mid,35
Jakkur,13.07,77.6,residential,67275,62161,72029,mid,49
Vidyaranyapura,13.07,77.54,residential,67275,51898,93983,mid,29
Sector 2 HSR Layout,12.9116,77.6389,residential,66703,59980,82087,mid,10
Hosur Road,12.87,77.65,industrial,65106,48429,78805,mid,34
